issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
09074,2009-06-29,15,17,19,23,32,1,11,45913477,88928864
09075,2009-07-01,1,7,11,32,33,9,11,45529833,96863663
09076,2009-07-04,3,9,11,18,24,4,5,52275871,99692562
09077,2009-07-06,7,20,28,32,34,6,8,46747748,95368454
09078,2009-07-08,11,23,26,31,34,5,11,47027388,94738714
09079,2009-07-11,1,2,7,13,34,4,10,51652499,105602353
09080,2009-07-13,7,16,19,29,35,2,11,47474266,108152117
09081,2009-07-15,2,15,20,25,33,3,6,48912917,103152117
09082,2009-07-18,5,11,26,29,32,8,11,53062976,88152117
09083,2009-07-20,2,5,28,34,35,1,7,46714940,96924199
09084,2009-07-22,5,9,19,26,35,2,10,46704489,106350255
09085,2009-07-25,6,13,27,33,34,9,12,52654405,101350255
09086,2009-07-27,1,2,7,26,29,10,12,48530520,96350255
09087,2009-07-29,10,24,28,30,33,1,10,47801827,103709743
09088,2009-08-01,13,16,27,32,34,3,9,53086069,93709743
09089,2009-08-03,3,6,11,19,27,2,7,46949691,95503725
09090,2009-08-05,18,25,30,33,34,4,10,46981058,91379188
09091,2009-08-08,1,5,17,32,34,3,7,51108194,95708687
09092,2009-08-10,10,21,22,27,29,8,12,45632991,102843787
09093,2009-08-12,7,9,22,30,33,9,11,47767244,97843787
09094,2009-08-15,1,5,21,23,29,5,12,52581788,106868423
09095,2009-08-17,8,18,24,30,33,1,6,48364617,96868423
09096,2009-08-19,7,12,28,32,33,1,3,48423174,104983148
09097,2009-08-22,6,13,14,22,25,1,4,53124002,108781006
09098,2009-08-24,11,17,19,25,26,2,10,48520631,82781006
09099,2009-08-26,3,9,21,23,33,6,10,48169676,92144340
09100,2009-08-29,16,20,25,29,33,1,8,52247864,101558044
09101,2009-08-31,2,10,14,22,26,4,9,47809382,96558044
09102,2009-09-02,11,13,29,32,35,10,12,48859582,100398240
09103,2009-09-05,16,20,28,32,33,1,2,54467017,103776415
09104,2009-09-07,15,25,29,32,33,10,11,49507325,105875241
09105,2009-09-09,1,25,26,34,35,6,11,50958315,108309281
09106,2009-09-12,11,21,22,25,34,6,9,55692618,112315252
09107,2009-09-14,11,12,33,34,35,1,10,50513087,107315252
09108,2009-09-16,1,9,14,29,30,7,10,51337395,109931600
09109,2009-09-19,2,11,13,26,35,6,10,57166799,104931600
09110,2009-09-21,22,28,30,31,34,7,9,51636412,107143818
09111,2009-09-23,4,11,13,19,35,10,12,52850837,102143818
09112,2009-09-26,2,8,12,34,35,4,5,57394342,106317667
09113,2009-09-28,3,4,10,18,27,6,8,51363174,107532884
09114,2009-09-30,2,8,25,29,33,3,7,51813022,84532884
09115,2009-10-03,1,2,6,8,26,5,12,50517460,95879579
09116,2009-10-05,12,15,23,30,33,9,12,45459651,93319627
09117,2009-10-07,7,21,29,31,33,9,10,47209745,82939167
